id,area,capability,ui_surface,legacy_guide,coverage,gaps,priority,since_v040,media,evidence,destination,reviewer,workstream
fund.top-toolbar,fundamentals,"Top toolbar: file actions, undo/redo, zoom to model/selected, snap popover, measure menu, appearance, language",Top bar,interface#toolbar,accurate,,release-critical,changed,screenshot: top bar with labels,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/layout/toolbar/GlobalActions.tsx; i18n:file.*; i18n:shell.topBar.*,/guide/fundamentals/workspace/#top-toolbar,shell/UI,W1
fund.tool-rail,fundamentals,"Tool rail: creation target, shape drawer, align, distribute, copy, move, delete, resize, rotate, mirror, offset, constraint, join, cut",Left tool rail,interface#toolbar,accurate,,release-critical,no,screenshot: tool rail and shape drawer,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/layout/ToolRail.tsx; i18n:appShell.toolRail.*; i18n:sketch.transform.*,/guide/fundamentals/workspace/#tool-rail,shell/UI,W1
fund.status-bar,fundamentals,"Status bar: stock size, unit switch, view visibility toggles (labels, grid, stock, backdrop, origin, regions, construction, tabs, clamps), feature colour legend, About",Bottom status bar,concepts#construction,accurate,,release-critical,no,screenshot: expanded status bar,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; i18n:appShell.status.*; src/components/layout/StatusBarExtras.tsx,/guide/fundamentals/workspace/#status-bar,shell/UI,W1
fund.workflow-panels,fundamentals,"Canvas workflow panels and their keys (Tab, Enter, Esc, K, L/A/S, Backspace)",Floating canvas panels,interface#canvas-workflow-panels,accurate,,release-critical,no,screenshot: rectangle creation panel,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/canvas/CanvasWorkflowPanel.tsx; src/components/canvas/useCanvasKeyboard.ts; e2e/canvasWorkflowPanel.smoke.spec.ts,/guide/fundamentals/workspace/#workflow-panels,sketch,W1
fund.properties-panel,fundamentals,"Properties panel contents per selection, and the expanded multi-column view",Project panel → Properties,interface#properties-panel,accurate,,release-critical,no,screenshot: feature properties; expanded modal,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/feature-tree/PropertiesPanel.tsx; i18n:featureTree.properties.*,/guide/fundamentals/feature-tree/#properties,shell/UI,W1
fund.new-project,fundamentals,"New Project dialog: templates (Blank metric/imperial, Current project, Template file) with preview",New project dialog,interface#starting-a-project,accurate,,release-critical,no,screenshot: new project dialog,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/project/NewProjectDialog.tsx; i18n:dialogs.newProject.*,/guide/fundamentals/projects-and-files/,shell/UI,W1
fund.examples,fundamentals,"Bundled example projects (PureCutCNC, T Style guitar body, Badge) and the Start your part card",New project dialog; empty-state card,interface#starting-a-project,accurate,,reference,no,screenshot: empty-state card,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; public/examples/manifest.json; src/components/project/exampleManifest.test.ts; src/components/onboarding/EmptyStateOverlay.tsx,/guide/fundamentals/projects-and-files/#examples,shell/UI,W1
fund.open-save,fundamentals,"Open and save .camj projects (web file access or download fallback, touch .camj.json, desktop Save As), unsaved-changes prompt, saved/unsaved badge",Top bar; desktop File menu,index#file-format,accurate,,release-critical,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/platform/ (browser.test.ts); src-tauri/src/lib.rs; i18n:shell.topBar.saved; i18n:platform.*,/guide/fundamentals/projects-and-files/#open-and-save,desktop/platform,W1
fund.project-format,reference,.camj format versions and load-time migration notices (format 3.1 retract heights),Load warning banner,,missing,Not documented. Users opening older files see a conversion notice.,reference,no,none,src/types/project.ts (LATEST_PROJECT_VERSION); src/store/helpers/projectFormat.ts; src/store/operationMigration.test.ts,/guide/reference/file-formats/#camj,shell/UI,W5
fund.feature-roles,fundamentals,"Feature roles: Add, Subtract, Line (open or closed), Region, Construction, Model",Feature tree role badge; properties,concepts#add-subtract;concepts#features,accurate,,release-critical,changed,diagram: role matrix (material / target / filter),app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/types/project.ts (FeatureOperation); src/store/helpers/featureRoles.test.ts; i18n:featureTree.treeRow.operation.*,/guide/fundamentals/features-and-roles/,sketch,W1
fund.z-range,fundamentals,Z Top and Z Bottom as coordinates; Z-range slider; regions follow stock; construction has no depth; lines inherit the enclosing surface,Properties → Z range,concepts#z-coordinates,accurate,,release-critical,no,diagram: Z top/bottom vs cut depth,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/feature-tree/ZRangeSlider.tsx; src/store/lineTopZFromEnclosingFeature.test.ts; i18n:featureTree.properties.z.*,/guide/fundamentals/features-and-roles/#z-range,sketch,W1
fund.tree-order,fundamentals,Feature order and the first-solid rule (tree warning when the first 2.5D feature is not Add),Feature tree,concepts#tree-order,accurate,,release-critical,no,screenshot: first-feature warning,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; i18n:featureTree.tree.warning.firstFeaturePrefix; src/store/featureLifecycle.test.ts,/guide/fundamentals/features-and-roles/#order,sketch,W1
fund.feature-tree,fundamentals,"Feature tree nodes (Project, Grid, Stock, Origin, Backdrop, Features, Regions, Construction, Tabs, Clamps) and show/hide all",Project panel → tree,interface#feature-tree,accurate,,release-critical,no,screenshot: tree with every node,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/feature-tree/FeatureTree.tsx; i18n:featureTree.tree.*,/guide/fundamentals/feature-tree/,shell/UI,W1
fund.folders-groups,fundamentals,"Folders, region/construction folders, group and ungroup, select all in folder",Feature tree,interface#feature-tree,accurate,,reference,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/store/folderGroup.test.ts; src/store/folderGroupTransforms.test.ts; i18n:featureTree.treeRow.group,/guide/fundamentals/feature-tree/#folders-and-groups,shell/UI,W1
fund.visibility-lock,fundamentals,"Visibility and locking of features, and what visibility does to the model, previews and export",Tree eye toggle; Locked checkbox,concepts#visibility;sketch-edit#locking,accurate,,release-critical,changed,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/export/exportOperationSelection.ts; src/components/export/exportOperationSelection.test.ts; src/engine/toolpaths/clamps.ts; PureCutCNC/purecutcnc#802,/guide/fundamentals/feature-tree/#visibility,shell/UI,W1
fund.context-menus,fundamentals,"Feature context menu (make unique, select linked, create/add to/remove from operation, edit sketch, constraint, transforms, folder, group, join, cut, use as stock, delete); long-press on touch",Right-click or long-press,cam-operations#adding-operations;concepts#feature-references,accurate,,release-critical,no,screenshot: context menu,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/feature-tree/FeatureContextMenu.tsx; src/app/useTreeContextMenu.test.ts; i18n:featureTree.contextMenu.*,/guide/fundamentals/feature-tree/#context-menu,shell/UI,W1
fund.linked-features,fundamentals,"Linked copies: definitions and instances, copy mode, make unique, select linked, link badge",Tree badge; context menu; project copy mode,concepts#feature-references,accurate,,release-critical,no,diagram: definition vs instances,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; ARCHITECTURE.md §4; src/store/duplicateReference.test.ts; e2e/featureReferences.smoke.spec.ts; i18n:featureTree.contextMenu.makeUnique; PureCutCNC/purecutcnc#801,/guide/fundamentals/linked-features/,sketch,W1
fund.stock,fundamentals,"Stock: size, thickness, colour, profile stock (edit sketch, reset to rectangle), use a feature as stock, resize by dimension",Stock node; context menu Use as stock,concepts#stock,accurate,,release-critical,no,screenshot: stock properties,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/types/project.ts (Stock); src/components/feature-tree/PropertiesPanel.tsx; i18n:featureTree.properties.stock.*; i18n:canvas.driving.title.resizeStock,/guide/fundamentals/stock-origin-units/#stock,sketch,W1
fund.origin,fundamentals,"Machine origin: presets, Place origin, manual Z, and how export uses it",Origin node,concepts#origin,accurate,,release-critical,no,screenshot: origin marker and presets,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; i18n:featureTree.properties.origin.*; i18n:canvas.placement.originStep; i18n:dialogs.export.originDescription,/guide/fundamentals/stock-origin-units/#origin,post/G-code,W1
fund.units,fundamentals,Project units and the unit conversion dialog (convert values vs keep numbers); tool units,Project node; status bar unit switch,concepts#units,accurate,,release-critical,no,screenshot: unit conversion dialog,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/project/UnitConversionDialog.tsx; src/store/unitChange.test.ts; e2e/unitConversion.smoke.spec.ts,/guide/fundamentals/stock-origin-units/#units,shell/UI,W1
fund.grid,fundamentals,"Grid settings: extent, major/minor lines, snap increment, visibility",Grid node,sketch-snapping#grid-settings,accurate,,reference,no,none,i18n:featureTree.properties.gridExtent; src/app/useSnapSettings.test.ts,/guide/design/snapping-and-grid/#grid,sketch,W2
fund.regions,fundamentals,"Regions as machining masks: include/exclude, composition, tool-centre bound, where masks are unsupported",Create regions target; properties Mask mode,concepts#regions;cam-operations#reassigning-targets,accurate,,release-critical,changed,diagram: include/exclude composition,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; planning/REGION_FEATURE_SEMANTICS.md; src/engine/toolpaths/regionDomain.ts; src/engine/toolpaths/regionDomain.test.ts; i18n:warnings.xyLeadRegionMask,/guide/fundamentals/regions/,CAM toolpaths,W1
fund.construction,fundamentals,Construction geometry,Create construction target; tree section,concepts#construction,accurate,,reference,no,screenshot: construction geometry,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/engine/constructionExclusion.test.ts; src/store/constructionWorkflows.test.ts,/guide/fundamentals/construction-geometry/,sketch,W1
fund.tablet,fundamentals,"Tablet shell: command bar, tool rail, drawers, snap and measure popovers, Multi-select toggle, gestures, rotate prompt",Touch devices,interface#tablet-shell,accurate,,release-critical,no,screenshot: tablet shell (iPad landscape),app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; planning/TABLET_UX_DESIGN.md; src/styles/tablet.css; i18n:canvas.axisLock.multiSelect; i18n:appShell.tablet.rotatePrompt,/guide/fundamentals/tablet-and-touch/,shell/UI,W1
fund.undo-redo,fundamentals,"Undo and redo scope: what enters history, and what does not (language, theme, machine library)",Top bar; shortcuts,index#file-format,accurate,,reference,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; ARCHITECTURE.md §9; src/i18n/INDEX.md; i18n:file.undo,/guide/fundamentals/workspace/#undo-and-redo,shell/UI,W1
fund.sketch-navigation,fundamentals,"Sketch navigation: pan (middle-drag, right-drag, Shift+drag), wheel zoom at pointer, zoom to model/selected, double-click to edit",Sketch canvas,sketch-tools#canvas-navigation;view-sketch#sketch-navigation,accurate,,release-critical,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/canvas/usePointerGestures.ts,/guide/fundamentals/workspace/#navigation,sketch,W1
design.creation-target,design,"Creation target (features, lines, regions, construction) for new shapes",Tool rail target toggle,sketch-tools#creation-target,accurate,,release-critical,no,screenshot: target toggle,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; e2e/creationTargets.smoke.spec.ts; i18n:sketch.target.*,/guide/design/drawing-tools/#creation-target,sketch,W2
design.basic-shapes,design,"Rectangle, circle and ellipse with typed dimensions",Shape drawer,sketch-tools#rectangle;sketch-tools#circle;sketch-tools#ellipse,accurate,,release-critical,no,screenshots: one per tool,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/store/creationDefinitions.test.ts; i18n:canvas.creation.step.*,/guide/design/drawing-tools/,sketch,W2
design.polygon-spline,design,"Polygon and spline: close, finish open, undo point",Shape drawer,sketch-tools#polygon;sketch-tools#spline,accurate,,release-critical,no,"screenshots: polygon, spline",app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/canvas/useCanvasKeyboard.ts,/guide/design/drawing-tools/#polygon,sketch,W2
design.composite,design,"Composite path with line, arc and spline segments (L/A/S)",Shape drawer,sketch-tools#composite,accurate,,release-critical,no,screenshot: composite in progress,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/canvas/useCanvasKeyboard.ts; i18n:canvas.composite.mode.*,/guide/design/drawing-tools/#composite,sketch,W2
design.parametric-shapes,design,"Slot, regular polygon (3–50 sides), rounded and chamfered rectangles",Shape drawer,sketch-tools#more-shapes,accurate,,reference,no,screenshots: one per shape,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/types/slot.test.ts; src/types/ngon.test.ts; src/store/helpers/cannedRectProfiles.test.ts,/guide/design/parametric-shapes/,sketch,W2
design.gear,design,"Gear: tooth count, whole depth, involute or straight flanks, pressure angle, root and crest forms, bore",Shape drawer → gear panel,sketch-tools#more-shapes,accurate,,reference,no,screenshot: gear parameter panel,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/sketch/gearProfile.ts; src/sketch/gearProfile.test.ts; src/store/gearCreation.test.ts; i18n:canvas.gear.*,/guide/design/parametric-shapes/#gear,sketch,W2
design.sticky-tools,design,Drawing tools stay armed and keep per-shape settings,Shape tools,sketch-tools#overview,accurate,,reference,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/store/stickyDrawing.test.ts,/guide/design/drawing-tools/,sketch,W2
design.text-tool,design,"Add text: content, skeleton or outline style, font (31 faces), height, add/subtract",Add text dialog,sketch-tools#text;sketch-text#text-overview;sketch-text#placing-text;sketch-text#text-styles,accurate,,release-critical,no,screenshot: add text dialog,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/types/project.ts (TextFontId); src/text/fontData.test.ts; i18n:dialogs.textTool.*,/guide/design/text/,sketch,W2
design.text-layout,design,"Text layout on a circle or along a guide path: radius, angle, sweep, direction, offsets, anchor, fit, orientation",Properties → Text layout workflow,sketch-text#placing-text,accurate,,release-critical,new,"screenshots: arc text, path text with panel",app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/sketch/textPlacement.ts; src/store/textLayout.test.ts; src/store/textLayoutPersistence.test.ts; src/text/baseline.test.ts; e2e/textLayout.smoke.spec.ts; i18n:canvas.textLayout.*,/guide/design/text/#text-layout,sketch,W2
design.text-edit-expand,design,Edit text properties; Expand text to features (one group per glyph; original kept),Properties panel,sketch-text#editing-text;sketch-text#expand-text,accurate,,reference,no,screenshot: expanded glyph groups,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/store/textExpansion.test.ts; src/store/slices/featureSlice.ts (expandTextFeature); i18n:featureTree.properties.expandText,/guide/design/text/#expand-text,sketch,W2
design.text-machining,design,"Choosing operations for text (engrave skeleton, V-carve or pocket outline; trochoidal slot unsuitable)",CAM,sketch-text#text-cam,accurate,,reference,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/store/helpers/vcarveTargets.test.ts; i18n:cam.operation.carveChannelWidthNote,/guide/design/text/#machining-text,CAM toolpaths,W2
design.selection,design,"Selecting: click, Shift/Cmd-click, marquee, Cmd/Ctrl+A, overlap picker for stacked features",Sketch canvas; tree,sketch-edit#selecting;view-sketch#sketch-navigation,incomplete,Missing the overlapping-feature picker and select all.,release-critical,no,screenshot: overlap picker,src/components/canvas/OverlapFeaturePicker.tsx; e2e/overlapFeatureSelection.smoke.spec.ts; src/App.tsx (Cmd/Ctrl+A),/guide/design/selecting-and-transforming/,sketch,W2
design.transforms,design,"Move, copy (with count), resize, rotate (with copies), mirror, keep originals",Tool rail; context menu,sketch-edit#transforms,stale,Mirror is missing; resize and rotate now use a reference-line workflow; Offset is described as a dialog.,release-critical,no,"screenshots: move, rotate copy, mirror",src/store/instanceTransforms.test.ts; src/store/projectStoreTransform.test.ts; i18n:canvas.transform.*; i18n:canvas.move.*,/guide/design/selecting-and-transforming/#transforms,sketch,W2
design.clipboard,design,"Feature clipboard: copy, cut, paste between projects with placement preview",Cmd/Ctrl+C/X/V,sketch-edit#clipboard,accurate,,reference,no,none,src/platform/featureClipboard.test.ts; src/store/copyFeatureOrder.test.ts; i18n:canvas.paste.*,/guide/design/selecting-and-transforming/#clipboard,sketch,W2
design.align-distribute,design,Align and distribute selected features,Tool rail menus,sketch-edit#alignment,accurate,,reference,no,none,i18n:sketch.align.*; i18n:sketch.distribute.*,/guide/design/arranging/,sketch,W2
design.feature-distribution,design,"Feature distribution: grid, radial, along path, orientation, scale taper",Tool rail → Feature distribution,sketch-edit#feature-distribution,accurate,,release-critical,no,"screenshots: grid, radial, path",src/sketch/featureDistribution.test.ts; src/store/featureDistribution.test.ts; e2e/featureDistribution.smoke.spec.ts,/guide/design/arranging/#feature-distribution,sketch,W2
design.offset,design,"Offset: live preview inside or outside, typed distance",Tool rail → Offset,sketch-edit#transforms,stale,Describes an offset dialog with signed distance; it is a workflow panel with a live preview.,release-critical,no,screenshot: offset preview,src/store/helpers/offsetSimplify.test.ts; i18n:canvas.offset.*,/guide/design/shape-operations/#offset,sketch,W2
design.join,design,Join closed features (keep originals),Tool rail → Join,sketch-edit#shape-ops,accurate,,reference,no,none,src/store/joinImmediate.test.ts; src/store/joinSharedEdge.test.ts; src/store/openProfileJoin.test.ts,/guide/design/shape-operations/#join,sketch,W2
design.cut,design,"Cut: choose cutters, then targets; open cutters split closed shapes",Tool rail → Cut,sketch-edit#shape-ops,stale,Describes clicking one cutter; the workflow is Select cutters → Next → Select targets.,release-critical,no,screenshot: cut workflow panel,src/store/polygonSplit.test.ts; i18n:canvas.cut.*,/guide/design/shape-operations/#cut,sketch,W2
design.sketch-edit-session,design,"Edit sketch session: node drag, segment dimension entry, arc fields, finish/cancel, profile warnings",Edit Sketch panel,sketch-edit#sketch-edit,incomplete,Self-intersection and outside-stock warnings are not covered.,release-critical,no,screenshot: edit sketch panel,src/store/editInPlace.test.ts; src/store/helpers/profileEdit.test.ts; e2e/sketchEditSession.smoke.spec.ts; i18n:canvas.edit.*,/guide/design/sketch-editing/,sketch,W2
design.sketch-edit-tools,design,"Add point, delete point, delete segment, disconnect, fillet, chamfer, trim, extend",Edit Sketch panel,sketch-edit#sketch-edit,incomplete,Delete segment and Disconnect (split) are missing.,release-critical,no,"screenshots: fillet, trim",src/store/slices/trimFeatureSegment.test.ts; src/store/slices/extendFeatureEndpoint.test.ts; i18n:sketch.edit.*,/guide/design/sketch-editing/#tools,sketch,W2
design.axis-lock,design,Axis lock: Alt/Option cycles X → Y → off; tablet lock button,Canvas chip; tablet button,sketch-snapping#axis-lock;sketch-edit#sketch-edit,stale,sketch-edit#sketch-edit says hold Shift; the implementation cycles with Alt only.,reference,no,none,src/sketch/useAxisLock.ts; src/sketch/useAxisLock.test.ts; i18n:canvas.axisLock.*,/guide/design/snapping-and-grid/#axis-lock,sketch,W2
design.snapping,design,"Snap modes (grid, point, line, midpoint, center, intersection, perpendicular) and the snap label",Snap popover,sketch-snapping#snap-overview;sketch-snapping#snap-modes,accurate,,release-critical,no,screenshot: snap popover,src/sketch/snapping.ts; src/components/canvas/snappingHelpers.test.ts; i18n:shell.snap.*,/guide/design/snapping-and-grid/,sketch,W2
design.tape-measure,design,Tape measure,Measure menu,sketch-dimensions#tape-measure,accurate,,reference,no,none,i18n:canvas.tape.*,/guide/design/dimensions-and-constraints/#tape,sketch,W2
design.dimensions,design,"Dimension annotations: six types, anchors, dangling dimensions, delete mode, show/hide",Measure menu,sketch-dimensions#overview;sketch-dimensions#toolbar;sketch-dimensions#placing-dimensions;sketch-dimensions#visibility;sketch-dimensions#limits,accurate,,reference,no,screenshot: dimensions on a part,src/sketch/dimensions.test.ts; i18n:canvas.dimension.*,/guide/design/dimensions-and-constraints/,sketch,W2
design.driving-dimensions,design,"Driving dimensions: edit a value to resize geometry or stock, flip the held side",Canvas dimension label,sketch-dimensions#editing-dimensions,accurate,,reference,no,none,src/sketch/drivingDimensionResolver.test.ts; i18n:canvas.driving.*,/guide/design/dimensions-and-constraints/#driving,sketch,W2
design.constraints,design,"Fixed-distance constraints: anchor, reference, distance; reference types; world reference; invalid state",Tool rail → Constraint; properties list,sketch-edit#constraints,incomplete,"Constraint reference types (intersection, perpendicular, point on segment, midpoint, center, vertex, world) are not listed.",reference,no,screenshot: constraint panel,src/sketch/constraintSolver.test.ts; src/store/linkedConstraintResolve.test.ts; i18n:featureTree.properties.constraints.*,/guide/design/dimensions-and-constraints/#constraints,sketch,W2
design.import-dialog,design,"Import dialog: file types, source-unit detection, project units, progress, warning summary",Top bar → Import geometry,sketch-import#import-overview;sketch-import#after-import,stale,"No STEP. After-import steps tell users to set Add/Subtract manually, which the solid-regions classifier now does.",release-critical,changed,screenshot: import dialog,src/import/types.ts; src/import/supportedExtensions.test.ts; src/components/project/importModelFile.test.ts; e2e/importGeometry.smoke.spec.ts; i18n:dialogs.importGeometry.*,/guide/design/importing-2d/,import,W2
design.import-svg,design,"SVG import: Auto, Paths and Solid-regions modes; paint intent; nesting-aware add/subtract; summary counts",Import dialog,sketch-import#svg-import,stale,The geometry-mode selector and classification summary are not described.,release-critical,no,screenshot: SVG import summary,src/import/svg.ts; src/import/svg.test.ts; src/import/classifier.test.ts; src/store/importRoles.test.ts,/guide/design/importing-2d/#svg,import,W2
design.import-dxf,design,"DXF import: layers, join tolerance, cross-layer join, INSERT expansion, units",Import dialog,sketch-import#dxf-import,stale,"Layer selection, join tolerance and cross-layer join are missing.",release-critical,no,screenshot: DXF layer picker,src/import/dxf.ts; src/import/classifier.test.ts; i18n:dialogs.importGeometry.joinTolerance,/guide/design/importing-2d/#dxf,import,W2
design.import-stl-obj,design,"STL and OBJ import: axis orientation, silhouette Z steps, multi-body split, large meshes",Import dialog,sketch-import#stl-obj-import,incomplete,Import-time axis orientation and silhouette steps are missing.,release-critical,no,screenshot: multi-body import,src/import/stl.ts; src/import/stl.test.ts; src/import/obj.test.ts; src/engine/importedMesh.test.ts; i18n:dialogs.importGeometry.axisOrientation,/guide/design/importing-3d-models/,import,W2
design.import-step,design,"STEP (.step/.stp) import: tessellation, surface tolerance, declared units, size and triangle limits, failure messages",Import dialog,,missing,"New since v0.4.0; not documented anywhere, including the landing page.",release-critical,new,screenshot: STEP import settings,src/import/stepImportClient.ts; src/import/stepImportClient.test.ts; src/import/stepTessellation.test.ts; src/import/stepUnits.test.ts; i18n:dialogs.importGeometry.step*,/guide/design/importing-3d-models/#step,import,W2
design.model-orientation,design,"Model orientation after import: rotate X/Y/Z, quarter turns, lift, reset; linked copies rotate together",Properties → 3D orientation,sketch-import#stl-obj-import,accurate,,release-critical,no,screenshot: 3D orientation section,src/components/feature-tree/ModelOrientationSection.tsx; src/engine/modelOrientation.test.ts; e2e/modelOrientation.smoke.spec.ts,/guide/design/importing-3d-models/#orientation,import,W2
design.import-camj,design,"Import folders from another .camj project, optionally with stock; what is not imported",Import dialog (.camj),sketch-import#camj-import,incomplete,"Missing the exclusions (backdrop, grid, machine definitions, global constraints) and the exact checkbox label.",reference,no,screenshot: folder picker,src/import/camj.ts; src/import/camj.test.ts; src/store/importBulk.test.ts; i18n:dialogs.importGeometry.camjImportNote,/guide/design/importing-2d/#camj,import,W2
design.backdrop,design,"Backdrop images: load PNG/JPEG, opacity, size, angle, move/resize/rotate",Backdrop node,sketch-import#backdrop,accurate,,reference,no,screenshot: backdrop tracing,i18n:featureTree.properties.backdrop.*; i18n:sketch.backdrop.*,/guide/design/backdrop-images/,sketch,W2
cam.cam-panel,cam-setup,"CAM panel: Operations and Tools tabs, show/hide all toolpaths, per-operation G-code and booklet export, expanded view",Right panel,interface#cam-panel,incomplete,Header actions and the per-operation export buttons are not covered.,release-critical,no,screenshot: CAM panel header,src/components/cam/CAMPanel.tsx; i18n:cam.panel.*,/guide/cam-setup/working-with-operations/,CAM planning,W3
